Configuration,Search Method,Solution State,Solution Depth,Nodes Expanded,Max Fringe Size,Branching Factor
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",depthFirstSearch,Solved ,             0,             1,               0,           ERROR
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",breadthFirstSearch,Solved ,             0,             1,               0,           ERROR
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",uniformCostSearch,Solved ,             0,             1,               0,           ERROR
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 12, 13, 11, 10, 15]",depthFirstSearch,Solved ,            24,         40918,              35,           1.557
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 12, 13, 11, 10, 15]",breadthFirstSearch,Solved ,             6,           223,             257,           2.463
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 12, 13, 11, 10, 15]",uniformCostSearch,Solved ,             6,           223,             376,           2.463
"[0, 1, 3, 4, 5, 2, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",depthFirstSearch,Solved ,            24,        155150,              35,           1.645
"[0, 1, 3, 4, 5, 2, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             6,           177,             189,            2.37
"[0, 1, 3, 4, 5, 2, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",uniformCostSearch,Solved ,             6,           177,             283,            2.37
"[5, 1, 2, 3, 9, 6, 7, 4, 0, 10, 11, 8, 13, 14, 15, 12]",depthFirstSearch,Solved ,             2,        903855,              38,               0
"[5, 1, 2, 3, 9, 6, 7, 4, 0, 10, 11, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             8,           585,             644,           2.218
"[5, 1, 2, 3, 9, 6, 7, 4, 0, 10, 11, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             8,           585,             948,           2.218
"[0, 2, 3, 4, 1, 6, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,            22,        367918,              36,           1.791
"[0, 2, 3, 4, 1, 6, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             6,           115,             129,           2.205
"[0, 2, 3, 4, 1, 6, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             6,           115,             192,           2.205
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,            24,         40935,              35,           1.557
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             2,            10,              15,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             2,            10,              20,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 12, 13, 0, 11, 15]",depthFirstSearch,Solved ,            20,        381871,              36,           1.901
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 12, 13, 0, 11, 15]",breadthFirstSearch,Solved ,             4,            39,              46,           2.499
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 12, 13, 0, 11, 15]",uniformCostSearch,Solved ,             4,            39,              66,           2.499
"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 11, 12, 10, 0, 14, 15]",depthFirstSearch,Solved ,            22,         99336,              36,           1.687
"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 11, 12, 10, 0, 14, 15]",breadthFirstSearch,Solved ,             6,           206,             232,            2.43
"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 11, 12, 10, 0, 14, 15]",uniformCostSearch,Solved ,             6,           206,             342,            2.43
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 13, 0, 14, 11]",depthFirstSearch,Solved ,             6,         87349,              36,           6.661
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 13, 0, 14, 11]",breadthFirstSearch,Solved ,             6,           253,             279,           2.515
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 13, 0, 14, 11]",uniformCostSearch,Solved ,             6,           253,             411,           2.515
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 11, 12, 8, 13, 10, 14, 15]",depthFirstSearch,Solved ,            20,        202584,              38,           1.842
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 11, 12, 8, 13, 10, 14, 15]",breadthFirstSearch,Solved ,             6,           190,             206,           2.398
